id,class,# org.tmethod,% mut.score,# new.tmethod,PR.candidates,# killed.origial,# killed.amplified,% inc.killed,# killed.aamp,% inc.killed.aamp,time,project,High/Low
57,PMBinomialGeneratorTest4,3,83.33,1,?,10,11,10.00,11,10.00,0:01:18,PolyMath,H
58,TLHideActionTest2,3,55.56,2,?,5,5,0.00,5,0.00,0:00:30,Telescope,H
59,TLHideActionTest3,3,55.56,3,?,5,8,60.00,5,0.00,0:00:33,Telescope,H
60,TLHideActionTest4,3,55.56,1,?,5,7,40.00,5,0.00,0:00:26,Telescope,H
61,TLExpandCollapseNodesActionTest2,3,66.67,2,?,14,16,14.00,15,7.14,0:01:28,Telescope,H
62,TLExpandCollapseNodesActionTest3,3,66.67,2,?,14,16,14.00,14,0.00,0:00:58,Telescope,H
63,TLExpandCollapseNodesActionTest4,3,66.67,2,?,14,16,14.00,14,0.00,0:01:16,Telescope,H
64,DSDetectChannelCommandTest2,5,50.00,0,?,3,3,0.00,3,0.00,0:00:40,DiscordSt,H
65,DSDetectChannelCommandTest3,5,50.00,0,?,3,3,0.00,3,0.00,0:00:41,DiscordSt,H
66,DSDetectChannelCommandTest4,5,50.00,0,?,3,3,0.00,3,0.00,0:00:39,DiscordSt,H
67,DSUserTest2,14,56.52,1,?,13,17,31.00,14,7.69,0:13:53,DiscordSt,H
68,DSUserTest3,14,56.52,1,?,13,17,31.00,14,7.69,0:17:13,DiscordSt,H
69,DSUserTest4,14,56.52,1,?,13,17,31.00,14,7.69,0:14:45,DiscordSt,H
70,PhLAboutCommandTest2,1,75.00,0,?,3,3,0.00,3,0.00,0:00:01,pharo-launcher,H
71,PhLAboutCommandTest3,1,75.00,0,?,3,3,0.00,3,0.00,0:00:01,pharo-launcher,H
72,PhLAboutCommandTest4,1,75.00,0,?,3,3,0.00,3,0.00,0:00:01,pharo-launcher,H
73,PhLCopyImageCommandTest2,1,66.67,0,?,4,4,0.00,4,0.00,0:00:02,pharo-launcher,H
74,PhLCopyImageCommandTest3,1,66.67,0,?,4,4,0.00,4,0.00,0:00:02,pharo-launcher,H
75,PhLCopyImageCommandTest4,1,66.67,0,?,4,4,0.00,4,0.00,0:00:01,pharo-launcher,H
76,WACookieTest2,16,50.00,1,?,33,37,12.00,34,3.03,0:02:33,Seaside,H
77,WACookieTest3,16,50.00,2,?,33,37,12.00,34,3.03,0:02:39,Seaside,H
78,WACookieTest4,16,50.00,2,?,33,37,12.00,36,9.09,0:02:30,Seaside,H
79,BlShortcutTest2,1,20.00,1,?,2,6,200.00,3,50.00,0:00:04,Bloc,L
80,BlShortcutTest3,1,20.00,1,?,2,6,200.00,3,50.00,0:00:04,Bloc,L
81,BlShortcutTest4,1,20.00,1,?,2,6,200.00,3,50.00,0:00:04,Bloc,L
82,BlCompulsoryCombinationTest2,4,11.76,1,?,4,6,50.00,4,0.00,0:00:34,Bloc,L
83,BlCompulsoryCombinationTest3,4,11.76,1,?,4,6,50.00,4,0.00,0:00:33,Bloc,L
84,BlCompulsoryCombinationTest4,4,11.76,1,?,4,6,50.00,4,0.00,0:00:36,Bloc,L
85,BlLayoutExactResizerTest2,8,40.54,3,?,15,18,20.00,20,33.33,0:01:08,Bloc,L
86,BlLayoutExactResizerTest3,8,40.54,3,?,15,18,20.00,20,33.33,0:01:07,Bloc,L
87,BlLayoutExactResizerTest4,8,40.54,3,?,15,18,20.00,20,33.33,0:01:06,Bloc,L
88,BlInsetsTest2,10,44.14,14,?,64,113,77.00,81,26.56,0:03:10,Bloc,L
89,BlInsetsTest3,10,44.14,18,?,64,110,72.00,92,43.75,0:03:08,Bloc,L
90,BlInsetsTest4,10,44.14,18,?,64,114,78.00,83,29.69,0:03:13,Bloc,L
91,ZnBivalentWriteStreamTest2,2,44.44,0,?,8,8,0.00,8,0.00,0:00:04,zinc,L
92,ZnBivalentWriteStreamTest3,2,44.44,0,?,8,8,0.00,8,0.00,0:00:04,zinc,L
93,ZnBivalentWriteStreamTest4,2,44.44,0,?,8,8,0.00,8,0.00,0:00:04,zinc,L
94,ZnStatusLineTest2,7,28.57,1,?,16,17,6.00,16,0.00,0:00:41,zinc,L
