id	test class	otm	tloc	tmut	oms	oam	ams	imp	atm	inck	akm	time
1	DataFrameJsonWriterTest2	4	187	12	50.00	6	66.67	16.67	1	0.33	2	0:00:11
2	DataFrameJsonWriterTest3	4	187	12	50.00	6	66.67	16.67	1	0.33	2	0:00:11
3	DataFrameJsonWriterTest4	4	187	12	50.00	6	66.67	16.67	1	0.33	2	0:00:11
4	DataFrameJsonWriterTest999	4	187	12	50.00	6	66.67	16.67	1	0.33	2	0:00:09
5	DataFrameJsonWriterTest	4	187	12	50.00	6	66.67	16.67	1	0.33	2	0:00:09
6	DataFrameCsvReaderTest2	4	65	20	85.00	3	85.00	0.00	0	0.00	0	0:00:08
7	DataFrameCsvReaderTest3	4	65	20	85.00	3	85.00	0.00	0	0.00	0	0:00:07
8	DataFrameCsvReaderTest4	4	65	20	85.00	3	85.00	0.00	0	0.00	0	0:00:07
9	DataFrameCsvReaderTest999	4	65	20	85.00	3	85.00	0.00	0	0.00	0	0:00:07
10	DataFrameCsvReaderTest	4	65	20	85.00	3	85.00	0.00	0	0.00	0	0:00:05
11	DataFrameJsonReaderTest2	9	142	22	72.73	6	90.91	18.18	2	0.25	4	0:08:43
12	DataFrameJsonReaderTest3	9	142	22	72.73	6	90.91	18.18	2	0.25	4	0:08:57
13	DataFrameJsonReaderTest4	9	142	22	72.73	6	90.91	18.18	2	0.25	4	0:09:11
14	DataFrameJsonReaderTest999	9	142	22	72.73	6	90.91	18.18	2	0.25	4	0:05:14
15	DataFrameJsonReaderTest	9	142	22	72.73	6	90.91	18.18	2	0.25	4	0:07:35
16	DataFrameTypeDetectorTest2	15	56	68	94.12	4	94.12	0.00	0	0.00	0	0:02:02
17	DataFrameTypeDetectorTest3	15	56	68	94.12	4	94.12	0.00	0	0.00	0	0:02:06
18	DataFrameTypeDetectorTest4	15	56	68	94.12	4	94.12	0.00	0	0.00	0	0:02:06
19	DataFrameTypeDetectorTest999	15	56	68	94.12	4	94.12	0.00	0	0.00	0	0:01:48
20	DataFrameTypeDetectorTest	15	56	68	94.12	4	94.12	0.00	0	0.00	0	0:02:07
21	DataFrameInternalTest	32	299	119	77.31	27	83.19	5.88	4	0.08	7	0:06:00
